Color,Hex_Code,Team,color_level
Athletic Gold,#ceb888;,Purdue Boilermakers,1
Black,#000000;,Purdue Boilermakers,2
Gray,#9d968D;,Purdue Boilermakers,3
Dark Gray,#373A36;,Purdue Boilermakers,4
Campus Gold,#C28E0E;,Purdue Boilermakers,5
Red,#c2011b;,Radford Highlanders,1
Gray,#d1d3d4;,Radford Highlanders,2
Blue,#003C71;,Radford Highlanders,3
White,#ffffff;,Radford Highlanders,4
LIGHT BLUE ,#68abe8;,Rhode Island Rams,1
DARK BLUE ,#002147;,Rhode Island Rams,2
WHITE,#FFFFFF;,Rhode Island Rams,3
UR BLUE ,#000066;,Richmond Spiders,1
UR RED ,#990000;,Richmond Spiders,2
Navy Blue ,#00205B;,Rice Owls,1
Gray ,NA,Rice Owls,2
RIDER CRANBERRY ,#981E32;,Rider Broncs,1
RIDER GREY ,#6C6F70;,Rider Broncs,2
WHITE,#FFFFFF;,Rider Broncs,3
Scarlet,#cc0033;,Rutgers Scarlet Knights,1
Grey,#5F6A72;,Rutgers Scarlet Knights,2
Black,#000000;,Rutgers Scarlet Knights,3
Blue,#14234b;,Robert Morris Colonials,1
Red,#a6192e;,Robert Morris Colonials,2
Gray,#b2b1ae;,Robert Morris Colonials,3
White,#ffffff;,Robert Morris Colonials,4
Sac State Green ,NA,Sacramento State Hornets,1
Sac State Green ,NA,Sacramento State Hornets,2
Red,#ce1141;,Sacred Heart Pioneers,1
Gray,#b1b3b6;,Sacred Heart Pioneers,2
Black,#4d4d4f;,Sacred Heart Pioneers,3
White,#ffffff;,Sacred Heart Pioneers,4
Navy,#002649;,Samford Bulldogs,1
Red,#C4161D;,Samford Bulldogs,2
Orange,#fe5100;,S.H.S. Bearkats,1
White,#ffffff;,S.H.S. Bearkats,2
SMC Red ,#D80024;,Saint Mary’s Gaels,1
Gray ,#06315B;,Saint Mary’s Gaels,2
Founder’s Blue ,#002868;,San Diego Toreros,1
Torero Blue ,#84bce8;,San Diego Toreros,2
Immaculata Blue ,#207bc1;,San Diego Toreros,3
Red ,#a6192e;,San Diego State Aztecs,1
Black,#000000;,San Diego State Aztecs,2
White,#FFFFFF;,San Diego State Aztecs,3
USF Yellow ,#FDBB30;,San Francisco Dons,1
USF Green ,#00543C;,San Francisco Dons,2
USF Gray ,#919194;,San Francisco Dons,3
Blue ,#0055A2;,San Jose State Spartans,1
Gold ,#E5A823;,San Jose State Spartans,2
Gold ,#939597;,San Jose State Spartans,3
Cardinal Red ,#862633;,Santa Clara,1
Red,#AA0000;,Seattle Redhawks,1
Black,#000000;,Seattle Redhawks,2
Seton Hall University Blue ,#004488;,Seton Hall Pirates,1
Seton Hall University Gray ,#A2AAAD;,Seton Hall Pirates,2
Green,#006341;,SE Louisiana Lions,1
Gold,#eaaa00;,SE Louisiana Lions,2
Black,#000000;,SE Louisiana Lions,3
Rich Black,#000000;,SE M.S. Redhawks,1
Southeast Red,#C8102E;,SE M.S. Redhawks,2
White,#ffffff;,SE M.S. Redhawks,3
SIENA YELLOW ,#FFC72C;,Siena Saints,1
SIENA RED ,#C8102E;,Siena Saints,2
SIENA GREEN ,#006747;,Siena Saints,3
SIENA BROWN ,#693F23;,Siena Saints,4
SIENA BLACK,NA,Siena Saints,5
Red,#ef3829;,SIUE Cougars,1
White,#ffffff;,SIUE Cougars,2
Light Brown,#cfaa7a;,SIUE Cougars,3
Brown,#a68462;,SIUE Cougars,4
Dark Brown 1,#896532;,SIUE Cougars,5
Dark Brown 2,#5a471c;,SIUE Cougars,6
Black,#000000;,SIUE Cougars,7
SMU Blue ,#0033A0;,SMU Mustangs,1
SMU Red ,#C8102E;,SMU Mustangs,2
Garnet,#73000A;,South Carolina Gamecocks,1
Black,#000000;,South Carolina Gamecocks,2
GREEN ,#00703c;,South Carolina Upstate Spartans,1
BLACK,#000000;,South Carolina Upstate Spartans,2
WHITE,#FFFFFF;,South Carolina Upstate Spartans,3
Red,#862633;,South Carolina Bulldogs,1
Blue,#001A72;,South Carolina Bulldogs,2
NCCU Black,#000000;,South Carolina Bulldogs,3
USA BLUE ,#00205B;,South Alabama Jaguars,1
USA RED ,#BF0D3E;,South Alabama Jaguars,2
Red ,#ad0000;,South Dakota Coyotes,1
Gray ,#b4b4b4;,South Dakota Coyotes,2
Black ,#000000;,South Dakota Coyotes,3
SDSU Blue ,#0033A0;,South Dakota State Jackrabbits,1
SDSU Yellow ,#FFD100;,South Dakota State Jackrabbits,2
USF GREEN ,#006747;,South Florida Bulls,1
USF GOLD ,#CFC493;,South Florida Bulls,2
MAROON ,#720000;,Southern Illinois,1
WHITE,#FFFFFF;,Southern Illinois,2
BLACK,#000000;,Southern Illinois,3
Black ,#000000;,Southern Miss Golden Eagles,1
Gray ,#FFAB00;,Southern Miss Golden Eagles,2
Columbia Blue,#58b6e7;,Southern Jaguars,1
Gold,#ffce34;,Southern Jaguars,2
SUU Red ,NA,Southern Utah Thunderbirds,1
SUU Black ,NA,Southern Utah Thunderbirds,2
SUU White,#FFFFFF;,Southern Utah Thunderbirds,3
Cardinal Red,#8C1515;,Stanford Cardinal,1
Cool Gray,#4D4F53;,Stanford Cardinal,2
Black,#2e2d29;,Stanford Cardinal,3
White,#ffffff;,Stanford Cardinal,4
Purple,#613393;,Stephen F.A. Lumberjacks,1
White,#ffffff;,Stephen F.A. Lumberjacks,2
BROWN ,#54261a;,St. Bonaventure Bonnies,1
GOLD ,#fdb726;,St. Bonaventure Bonnies,2
GRAY ,#bdb6b0;,St. Bonaventure Bonnies,3
Blue,#005496;,St.Francis Terriers,1
Red,#e03a3e;,St.Francis Terriers,2
White,#ffffff;,St.Francis Terriers,3
Red,#bd1f25;,St.Francis Red Flash,1
Dark Red,#790000;,St.Francis Red Flash,2
Silver,#8e908f;,St.Francis Red Flash,3
Black,#000000;,St.Francis Red Flash,4
HUNTER GREEN ,#006747;,Stetson Hatters,1
KHAKI ,#B58150;,Stetson Hatters,2
BROWN ,#9E652E;,Stetson Hatters,3
BLACK,#000000;,Stetson Hatters,4
WHITE,#FFFFFF;,Stetson Hatters,5
ST. JOHN’S RED ,#BA0C2F;,St. John’s Red Storm,1
SJU BLUE ,#041C2C;,St. John’s Red Storm,2
SILVER GRAY ,#A7A8AA;,St. John’s Red Storm,3
WHITE,#FFFFFF;,St. John’s Red Storm,4
CRIMSON ,#9e1b32;,St. Joseph’s Hawks,1
GRAY ,#6c6f70;,St. Joseph’s Hawks,2
SLU BlUE ,#003DA5;,St. Louis Billikens,1
COLLEGE CHURCH GRAY ,#C8C9C7;,St. Louis Billikens,2
IRIS WHITE,NA,St. Louis Billikens,3
Blue,#002855;,St.Mary’s Mountaineers,1
Bronze,#84754E;,St.Mary’s Mountaineers,2
White,#ffffff;,St.Mary’s Mountaineers,3
NAVY ,#003C71;,St. Peter’s Peacocks,1
BLUE ,#0072CE;,St. Peter’s Peacocks,2
GRAY ,#A59C94;,St. Peter’s Peacocks,3
BLACK,#000000;,St. Peter’s Peacocks,4
WHITE,#FFFFFF;,St. Peter’s Peacocks,5
STONY BROOK RED ,#990000;,Stony Brook Seawolves,1
MIDNIGHT BLUE,#16243e;,Stony Brook Seawolves,2
STONY BROOK GREY ,#828282;,Stony Brook Seawolves,3
Syracuse Orange,#D44500;,Syracuse Orange,1
Extra Dark Gray,#3e3d3c;,Syracuse Orange,2
Dark Gray,#6f777d;,Syracuse Orange,3
Medium Gray,#adb3b8;,Syracuse Orange,4
Light Gray,#3e3d3c;,Syracuse Orange,5
Navy ,#0D1D37;,Syracuse Orange,6
CHERRY RED,#9D2235;,Temple Owls,1
YELLOW,#FFCD00;,Temple Owls,2
METALLIC SILVER,#8A8D8F;,Temple Owls,3
SILVER,#C1C6C8;,Temple Owls,4
BLACK,#000000;,Temple Owls,5
WHITE,#FFFFFF;,Temple Owls,6
Blue,#00539F;,Tennessee State Tigers,1
White,#ffffff;,Tennessee State Tigers,2
Tennessee Tech Purple,#4f2984;,Tennessee Golden Eagles,1
Tennessee Tech Gold,#FFDD00;,Tennessee Golden Eagles,2
Maroon,#500000;,Texas A&M Aggies,1
White,#FFFFFF;,Texas A&M Aggies,2
Blue,#0067C5;,Texas A&M-CC Islanders,1
Green,#007F3E;,Texas A&M-CC Islanders,2
Silver,#9EA2A4;,Texas A&M-CC Islanders,3
Dark Blue,#002e57;,Texas A&M-CC Islanders,4
Orange ,#f58025;,Texas-Arlington Mavericks,1
Blue ,#0064b1;,Texas-Arlington Mavericks,2
Purple ,#4d1979;,Texas Christian Horned Frogs,1
Grey,#a3a9ac;,Texas Christian Horned Frogs,2
White ,#FFFFFF;,Texas Christian Horned Frogs,3
Burnt Orange,#bf5700;,Texas Longhorns,1
Dark Gray,#333f48;,Texas Longhorns,2
WHite,#FFFFFF;,Texas Longhorns,3
Maroon,#7c183e;,Texas Southern Tigers,1
Gray,#9da6ab;,Texas Southern Tigers,2
White,#ffffff;,Texas Southern Tigers,3
Maroon ,#501214;,Texas State Bobcats,1
Gold ,#8d734a;,Texas State Bobcats,2
Red ,#CC0000;,Texas Tech Red Raiders,1
Black ,#000000;,Texas Tech Red Raiders,2
White ,#FFFFFF;,Texas Tech Red Raiders,3
BLUE ,#15397F;,Toledo Rockets,1
LIGHT BLUE ,#005CB9;,Toledo Rockets,2
GOLD ,#FFDA00;,Toledo Rockets,3
LIGHT GRAY ,#BEC6C3;,Toledo Rockets,4
GRAY ,#A0ACAA;,Toledo Rockets,5
BLACK,#000000;,Toledo Rockets,6
Gold,#FFBB00;,Towson Tigers,1
Black,#3C3C3C;,Towson Tigers,2
White,#ffffff;,Towson Tigers,3
Gray,#DDDDDD;,Towson Tigers,4
Red,#8a2432;,Troy Trojans,1
Grey,#b3b5b8;,Troy Trojans,2
White,#ffffff;,Troy Trojans,3
DARK GREEN ,#006747;,Tulane Green Wave,1
KELLY GREEN ,#43B02A;,Tulane Green Wave,2
BLUE ,#418FDE;,Tulane Green Wave,3
WHITE,#FFFFFF;,Tulane Green Wave,4
BLACK,#000000;,Tulane Green Wave,5
Navy Blue ,#002D72;,Tulsa Golden Hurricane,1
Red ,#C8102E;,Tulsa Golden Hurricane,2
Old Gold ,#C5B783;,Tulsa Golden Hurricane,3
Yellow ,#F3D54E;,Tulsa Golden Hurricane,4
Metallic Gold ,#84754E;,Tulsa Golden Hurricane,5
Green ,NA,UAB Blazers,1
Gold ,#CC8A00;,UAB Blazers,2
Black ,#000000;,UAB Blazers,3
Red ,#BF0D3E;,UAB Blazers,4
YALE BLUE ,#002855;,UC Davis,1
GOLD ,#B3A369;,UC Davis,2
UCF Bright Gold,#ffc904;,UCF Knights,1
UCF METALLIC GOLD,#ba9b37;,UCF Knights,2
BLACK,#000000;,UCF Knights,3
DARK BLUE ,#0C2340;,UC Irvine Anteaters,1
YELLOW ,#FFC72C;,UC Irvine Anteaters,2
Powderkeg Blue,#2d68c4;,UCLA Bruins,1
Westwood Gold,#f2a900;,UCLA Bruins,2
Blue,#3284BF;,UCLA Bruins,3
Yellow,#FFE800;,UCLA Bruins,4
UCR BLUE ,#2D6CC0;,UC Riverside Highlanders,1
UCR NAVY ,#003066;,UC Riverside Highlanders,2
UCR GOLD ,#F1AB00;,UC Riverside Highlanders,3
UCR GRAY ,#7A6E67;,UC Riverside Highlanders,4
BLACK,#000000;,UC Riverside Highlanders,5
NAVY ,#003660;,UC Santa Barbara Gauchos,1
GOLD ,#FEBC11;,UC Santa Barbara Gauchos,2
RED,#ac1e2d;,UIC Flames,1
FLAMES BLUE ,#041E42;,UIC Flames,2
YELLOW,#facc09;,UIC Flames,3
RED ,#971B2F;,UMass Minutemen,1
DARK RED ,#572932;,UMass Minutemen,2
GREY ,#B1B3B3;,UMass Minutemen,3
BLACK,#000000;,UMass Minutemen,4
BLUE ,#003DA5;,UMass Lowell,1
RED ,#C8102E;,UMass Lowell,2
WHITE Verified Source,NA,UMass Lowell,3
UMBC Retriever Brown ,#b18906;,UMBC Retrievers,1
UMBC Gold ,#ffc20e;,UMBC Retrievers,2
UMBC Black ,#000000;,UMBC Retrievers,3
UMBC Red ,#ed1c24;,UMBC Retrievers,4
Blue ,#005293;,UMKC Kangaroos,1
Yellow ,#fecb00;,UMKC Kangaroos,2
Black ,#000000;,UMKC Kangaroos,3
Gray ,#dcddde;,UMKC Kangaroos,4
Blue,#003DA5;,UNC Asheville Bulldogs,1
White,#ffffff;,UNC Asheville Bulldogs,2
Grey,#808285;,UNC Asheville Bulldogs,3
Light Grey,#c7c8ca;,UNC Asheville Bulldogs,4
Red,#e31837;,UNC Asheville Bulldogs,5
Black,#231f20;,UNC Asheville Bulldogs,6
Blue,#003366;,UNC Seahawks,1
Teal,#006666;,UNC Seahawks,2
Yellow,#FFD600;,UNC Seahawks,3
Navy,#0f2044;,UNCG Spartans,1
Gold,#ffb71b;,UNCG Spartans,2
Grey,#bec0c2;,UNCG Spartans,3
Scarlet ,#CF0A2C;,UNLV Rebels,1
Gray ,#CAC8C8;,UNLV Rebels,2
Black ,#000000;,UNLV Rebels,3
Red,#990000;,USC Trojans,1
Yellow,#FFC72C;,USC Trojans,2
University Red,#CC0000;,Utah Utes,1
Gray,#808080;,Utah Utes,2
Black,#000000;,Utah Utes,3
Green ,#275d38;,Utah Valley Wolverines,1
Black ,#000000;,Utah Valley Wolverines,2
Gray ,#8e8c89;,Utah Valley Wolverines,3
Navy ,#0F2439;,Utah State Aggies,1
White ,#FFFFFF;,Utah State Aggies,2
Gray ,#9d968d;,Utah State Aggies,3
Black ,#000000;,Utah State Aggies,4
Orange ,NA,UTEP Miners,1
Blue ,#041E42;,UTEP Miners,2
Silver ,#B1B3B3;,UTEP Miners,3
Orange,#f79728;,UT Martin Skyhawks,1
Blue,#002a5b;,UT Martin Skyhawks,2
Orange ,#FFA300;,UTRGV Vaqueros,1
Dark Orange,#f05023;,UTRGV Vaqueros,2
Green ,#00843D;,UTRGV Vaqueros,3
Navy Blue ,#0C2340;,UTRGV Vaqueros,4
Orange ,NA,UTSA Roadrunners,1
Blue ,#0C2340;,UTSA Roadrunners,2
BROWN ,#381e0e;,Valparaiso Crusaders,1
LIGHT BROWN ,#613318;,Valparaiso Crusaders,2
GOLD ,#ffcc00;,Valparaiso Crusaders,3
WHITE,#FFFFFF;,Valparaiso Crusaders,4
Black,#000000;,Vanderbilt Commodores,1
Old Gold,#866d4b;,Vanderbilt Commodores,2
NAVY,#00205b;,Villanova Wildcats,1
LIGHT BLUE,#13b5ea;,Villanova Wildcats,2
GOLD,#8B634B;,Villanova Wildcats,3
WHITE,#FFFFFF;,Villanova Wildcats,4
Jefferson Blue CMYK,#232D4B;,Virginia Cavaliers,1
Cavalier OrangeCMYK,#F84C1E;,Virginia Cavaliers,2
White,#FFFFFF;,Virginia Cavaliers,3
GOLD ,#ffb300;,Virginia Commonwealth Rams,1
BLACK,#000000;,Virginia Commonwealth Rams,2
Chicago Maroon ,#630031;,Virginia Tech Hokies,1
Burnt Orange  ,#cf4420;,Virginia Tech Hokies,2
Red,#a71f23;,VMI Keydets,1
Yellow,#ffd520;,VMI Keydets,2
Black,#000000;,VMI Keydets,3
Gray,#666766;,VMI Keydets,4
Green,#00483a;,Wagner Seahawks,1
Gray,#b9bbbd;,Wagner Seahawks,2
White,#ffffff;,Wagner Seahawks,3
Wake Forest Gold,#9E7E38;,Wake Forest Demon Deacons,1
Black ,#000000;,Wake Forest Demon Deacons,2
Purple,#4B2E83;,Washington Huskies,1
Gold,#b7a57a;,Washington Huskies,2
Metallic Gold,#85754d;,Washington Huskies,3
Crimson,#981E32;,Washington State Cougars,1
Cougars Gray,#5E6A71;,Washington State Cougars,2
Wildcat Purple ,NA,Weber State Wildcats,1
Waldo’s Gray ,NA,Weber State Wildcats,2
Black ,#000000;,Weber State Wildcats,3
Purple,#592c88;,Western Carolina Catamounts,1
Gold,#C1A875;,Western Carolina Catamounts,2
Purple ,#663399;,Western Illinois Leathernecks,1
Yellow ,#ffcc00;,Western Illinois Leathernecks,2
Red ,#c60c30;,Western Kentucky Hilltoppers,1
Black ,#1E1E1E;,Western Kentucky Hilltoppers,2
Gray ,#A2A4A3;,Western Kentucky Hilltoppers,3
BROWN ,#6C4023;,Western Michigan,1
GOLD ,#B5A167;,Western Michigan,2
GRAY ,#AAA8AA;,Western Michigan,3
BLACK,#000000;,Western Michigan,4
WHITE,#FFFFFF;,Western Michigan,5
Blue,#002855;,West Virginia Mountaineers,1
Gold ,#EAAA00;,West Virginia Mountaineers,2
Garnet,#660000;,Winthrop Eagles,1
Gold,#F0B323;,Winthrop Eagles,2
White,#ffffff;,Winthrop Eagles,3
Badger Red,#c5050c;,Wisconsin Badgers,1
Dark Red Accent,#9b0000;,Wisconsin Badgers,2
White,#ffffff;,Wisconsin Badgers,3
Wichita State Yellow ,#FFCD00;,Wichita State Shockers,1
Wichita State Black,NA,Wichita State Shockers,2
Green,#115740;,William & Mary Tribe,1
Gold,#F0B323;,William & Mary Tribe,2
Old Gold ,#886E4C;,Wofford Terriers,1
Black,#FFFFFF;,Wofford Terriers,2
Khaki ,#C7B37F;,Wofford Terriers,3
RAIDER GREEN ,#026937;,Wright State Raiders,1
RAIDER GOLD ,#CEA052;,Wright State Raiders,2
MCLIN GOLD ,#FFE1A5;,Wright State Raiders,3
NUTTER ORANGE ,#DE6328;,Wright State Raiders,4
Wyoming Gold,#ffc425;,Wyoming Cowboys,1
Wyoming Brown,#492f24;,Wyoming Cowboys,2
Xavier Blue ,#0C2340;,Xavier Musketeers,1
Xavier Silver ,#9EA2A2;,Xavier Musketeers,2
Light Blue ,#0099CC;,Xavier Musketeers,3
YALE BLUE,#00356b;,Yale Bulldogs,1
WHITE,#FFFFFF;,Yale Bulldogs,2
PENGUIN RED ,#C8102E;,Youngstown State Penguins,1
PENGUIN YELLOW ,#F3D54E;,Youngstown State Penguins,2
PENGUIN BLACK,NA,Youngstown State Penguins,3
PENGUIN WHITE,NA,Youngstown State Penguins,4
